image,object_id,layer,index,ring_y,ring_x,ring_inten,contact_inten,overlap,closed
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,1,1,0,223,449,2497,213,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,1,1,1,223,450,2816,237,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,1,1,2,222,450,2635,188,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,1,1,3,222,451,2855,209,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,1,1,4,221,451,2681,197,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,1,1,5,220,451,2525,202,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,1,1,6,219,451,2708,208,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,1,1,7,219,450,2591,221,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,1,1,8,219,449,2607,196,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,1,1,9,219,448,2602,209,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,1,1,10,219,447,2648,218,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,1,1,11,220,447,2664,161,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,1,1,12,221,447,2465,202,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,1,1,13,222,447,2540,205,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,1,1,14,223,447,2620,234,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,1,1,15,223,448,2551,229,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,2,1,0,271,585,5681,299,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,2,1,1,271,586,5680,362,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,2,1,2,271,587,5675,340,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,2,1,3,270,587,4113,292,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,2,1,4,270,588,4470,337,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,2,1,5,269,588,3220,285,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,2,1,6,269,589,3818,273,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,2,1,7,269,590,3674,327,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,2,1,8,268,590,3355,268,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,2,1,9,267,590,3211,337,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,2,1,10,266,590,3305,309,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,2,1,11,265,590,2959,235,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,2,1,12,264,590,3014,233,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,2,1,13,264,589,2891,268,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,2,1,14,263,589,3149,237,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,2,1,15,262,589,3120,268,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,2,1,16,262,588,3068,269,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,2,1,17,262,587,3484,267,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,2,1,18,261,587,3307,264,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,2,1,19,261,586,4029,193,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,2,1,20,261,585,3868,202,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,2,1,21,261,584,3743,227,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,2,1,22,261,583,3645,184,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,2,1,23,262,583,3542,196,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,2,1,24,262,582,3693,171,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,2,1,25,262,581,3467,174,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,2,1,26,263,581,3568,170,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,2,1,27,263,580,3164,160,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,2,1,28,264,580,3095,180,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,2,1,29,265,580,3749,195,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,2,1,30,266,580,4351,226,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,2,1,31,267,580,5158,227,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,2,1,32,268,580,5592,240,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,2,1,33,269,580,5667,231,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,2,1,34,269,581,4948,212,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,2,1,35,270,581,5149,227,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,2,1,36,270,582,5058,247,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,2,1,37,270,583,4630,277,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z001.nd2 - Z=0 C=0_92_30006,2,1,38,271,583,5653,267,false,true
